id,name,slug,url,created_at,updated_at,summary,category,platform_family,alternative_name,generation,versions,abbreviation,platform_logo,websites,checksum
167,PlayStation 5,ps5,https://www.igdb.com/platforms/ps5,2018-11-29 14:29:10,2024-06-10 13:48:09,,1,1,PS5,9,{273},PS5,795,{281},6b05a5ac-8fc5-08c6-7ad4-6f32930eb85b
479,Terebikko / See 'n Say Video Phone,terebikko-slash-see-n-say-video-phone,https://www.igdb.com/platforms/terebikko-slash-see-n-say-video-phone,2024-03-26 15:47:52,2024-06-10 13:48:09,,1,,,,"{697,698}",,,{380},44c903a8-278f-ecc2-cace-9e5d9b658ab7
50,3DO Interactive Multiplayer,3do,https://www.igdb.com/platforms/3do,2012-01-17 19:46:05,2024-06-10 13:48:09,,1,,3DO,5,{18},3DO,282,,87213d2d-1406-71e3-dc09-8f2352937191
137,New Nintendo 3DS,new-nintendo-3ds,https://www.igdb.com/platforms/new-nintendo-3ds,2017-09-05 11:25:34,2024-06-10 13:48:09,,5,5,n3DS,8,"{195,677}",,235,{17},10d2d57e-e40a-94d2-842a-c1de7ddd2f29
64,Sega Master System/Mark III,sms,https://www.igdb.com/platforms/sms,2013-06-29 10:03:37,2024-06-10 13:48:09,,1,3,"SMS, Mark III",3,"{63,629,630,631,632,633}",SMS,,,bdc235e9-0e6d-f73f-a420-cfa7935af434
274,PC-FX,pc-fx,https://www.igdb.com/platforms/pc-fx,2020-04-24 19:08:34,2024-06-10 13:48:09,,1,,,5,{392},,548,{139},a880243d-9f81-4fcf-fdf7-da0fe028be95
309,Evercade,evercade,https://www.igdb.com/platforms/evercade,2020-05-29 20:01:28,2024-06-10 13:48:09,,5,,,8,"{426,500,594}",,754,{207},72d87cd7-74b9-751a-b6ad-dfc2e552064b
381,Playdate,playdate,https://www.igdb.com/platforms/playdate,2021-06-08 16:21:15,2024-06-10 13:48:09,,5,,,9,{501},,609,{278},45e16d52-5a6f-04ec-0394-46855ef4025b
95,PDP-1,pdp1,https://www.igdb.com/platforms/pdp1,2014-12-14 14:07:51,2024-06-10 13:48:09,,6,,Programmed Data Processor-1,,{115},pdp1,,{212},f5fdcfb5-aaaa-1af3-98d1-ffb5cb063a18
110,PLATO,plato--1,https://www.igdb.com/platforms/plato--1,2015-08-02 12:33:23,2024-06-10 13:48:09,,6,,Programmed Logic for Automatic Teaching Operations,,{136},plato,375,,46476609-7e40-6759-25f6-daecc85fb708
372,OOParts,ooparts,https://www.igdb.com/platforms/ooparts,2020-11-28 08:15:04,2024-06-10 13:49:14,,3,,,,{490},,594,{271},3af6eea3-3715-3a44-7bd3-be2823e1f6eb
378,Gamate,gamate,https://www.igdb.com/platforms/gamate,2021-05-12 04:40:04,2024-06-10 13:48:09,,5,,Super Boy,4,{497},,627,"{290,305}",dbcba469-1770-894a-1212-28cd373558be
380,Casio Loopy,casio-loopy,https://www.igdb.com/platforms/casio-loopy,2021-05-17 18:24:06,2024-06-10 13:48:09,,1,,Loopy,,{499},,742,,f450d962-bb4e-20e4-0502-2fe83f727922
100,Analogue electronics,analogueelectronics,https://www.igdb.com/platforms/analogueelectronics,2015-07-26 08:38:47,2015-07-26 09:31:42,,,,,,{126},analogueelectronics,,,01951a13-ac9d-9f80-2b02-f9a818d83326
478,Panasonic M2,panasonic-m2,https://www.igdb.com/platforms/panasonic-m2,2024-03-21 16:41:10,2024-06-10 13:48:09,,1,,,6,{695},,,{379},b36676c6-5e7f-41ca-46ec-59f6898fe5a1
236,Exidy Sorcerer,exidy-sorcerer,https://www.igdb.com/platforms/exidy-sorcerer,2019-11-15 10:22:17,2024-06-10 13:48:09,,6,,,,{353},,,{215},49bd449a-ff99-0083-8954-5812a35c1c5c
26,ZX Spectrum,zxs,https://www.igdb.com/platforms/zxs,2011-03-15 16:28:32,2024-06-10 13:48:09,,6,,,,{79},ZXS,371,,f73944f5-3aee-6709-e02f-ed9b896a85cc
102,EDSAC,edsac--1,https://www.igdb.com/platforms/edsac--1,2015-07-26 08:40:25,2024-06-10 13:48:09,,6,,Electronic Delay Storage Automatic Calculator,,{128},edsac,389,,60d0cce1-2d5c-720a-da36-96be6f562d2d
103,PDP-7,pdp-7--1,https://www.igdb.com/platforms/pdp-7--1,2015-07-26 08:40:57,2015-07-26 09:31:48,,,,,,{129},pdp-7,,,e828d5a4-68ad-b75c-dc50-f8ea7df31036
27,MSX,msx,https://www.igdb.com/platforms/msx,2011-03-15 16:30:14,2024-06-10 13:48:09,,6,,,,{47},MSX,307,,7954204a-0502-4940-48c1-d525148f76fd
104,HP 2100,hp2100,https://www.igdb.com/platforms/hp2100,2015-07-27 08:40:02,2024-06-10 13:48:09,,6,,,,{130},hp2100,,,17f8a2f3-c014-058a-2827-375e11bcb851
166,Pokémon mini,pokemon-mini,https://www.igdb.com/platforms/pokemon-mini,2018-08-22 22:44:09,2024-06-10 13:48:09,,5,5,,,{272},,267,{33},9ea7c3e7-d03a-b228-b380-5bb17ea9be9f
105,HP 3000,hp3000,https://www.igdb.com/platforms/hp3000,2015-07-27 08:40:28,2024-06-10 13:48:09,,6,,,,{131},hp3000,369,,d4ac96e8-e4ba-b0dc-22ac-22b73d19ba83
106,SDS Sigma 7,sdssigma7,https://www.igdb.com/platforms/sdssigma7,2015-07-27 08:42:43,2024-06-10 13:48:09,,6,,,,{132},sdssigma7,,,2b8bbf36-b6ff-0242-80f4-7d1c6a0423e0
37,Nintendo 3DS,3ds,https://www.igdb.com/platforms/3ds,2011-10-03 13:27:59,2024-06-10 13:48:09,,5,5,3DS,8,"{50,675,676}",3DS,834,{9},fcba030b-8aa7-540b-2990-253369822ce0
38,PlayStation Portable,psp,https://www.igdb.com/platforms/psp,2011-10-03 13:27:59,2024-06-10 13:48:09,,5,1,PSP,7,"{59,276,277,278,279}",PSP,214,,4e0f4cb0-f3c4-6884-f159-de678ead05f5
107,Call-A-Computer time-shared mainframe computer system,call-a-computer,https://www.igdb.com/platforms/call-a-computer,2015-07-27 08:45:52,2024-06-10 13:48:09,,6,,,,{133},call-a-computer,,,47311af8-783b-05f5-0d26-0848d099a399
151,TRS-80 Color Computer,trs-80-color-computer,https://www.igdb.com/platforms/trs-80-color-computer,2017-11-07 10:33:27,2024-06-10 13:48:09,,6,,Tandy Color Computer,,{216},,541,{19},9bd8e911-be9c-a1ad-d8a9-fbf2888cf9ff
164,Daydream,daydream,https://www.igdb.com/platforms/daydream,2018-02-15 14:30:27,2018-02-15 14:30:35,,,,,,{234},,160,{31},1f46c07d-381d-e92f-1b49-88d04abe2f19
169,Xbox Series X|S,series-x-s,https://www.igdb.com/platforms/series-x-s,2019-08-08 14:09:07,2024-06-10 13:48:09,,1,2,XSX,9,"{284,489}",Series X|S,561,"{36,105,238}",543219c5-9d0b-9c01-2cb6-efca77105f45
203,DUPLICATE Stadia,duplicate-stadia,https://www.igdb.com/platforms/duplicate-stadia,2019-11-02 22:58:05,2021-04-22 16:50:18,,,,,,"{318,319}",,,{70},12366451-f4e4-cf5c-f0a5-082805b2ff86
238,DVD Player,dvd-player,https://www.igdb.com/platforms/dvd-player,2019-12-03 16:14:16,2024-06-10 13:48:09,,1,,Digital Versatile Disc Player,,{355},,426,{104},5a8e8d2e-b79e-37a9-7368-e3acbd6407f7
239,Blu-ray Player,blu-ray-player,https://www.igdb.com/platforms/blu-ray-player,2019-12-03 16:17:36,2024-06-10 13:48:09,,1,,,,{356},,427,{103},57f6c9cb-871e-d913-c5e9-9204991a94e7
240,Zeebo,zeebo,https://www.igdb.com/platforms/zeebo,2020-02-16 22:57:29,2024-06-10 13:48:09,,1,,,7,{357},,429,{106},d23d6c26-1eb4-4ff6-2e33-93bd082ec6d9
386,Meta Quest 2,meta-quest-2,https://www.igdb.com/platforms/meta-quest-2,2021-09-21 21:13:16,2024-06-10 13:48:09,,1,,Quest 2,,"{507,593}",Meta Quest 2,756,"{284,341}",fb20fada-1ac3-a056-fe69-684ac0458e77
99,Family Computer,famicom,https://www.igdb.com/platforms/famicom,2015-04-12 18:33:50,2024-06-10 13:48:09,,1,5,Famicom,3,"{123,642,645,646,647,648}",famicom,843,,097942bd-6551-718d-f932-1c840b246a13
165,PlayStation VR,psvr,https://www.igdb.com/platforms/psvr,2018-02-15 14:33:04,2024-06-10 13:48:09,,1,1,PSVR,8,{235},PSVR,840,{32},49fc429c-d40f-c686-2f37-2fa1074eb64f
405,Windows Mobile,windows-mobile,https://www.igdb.com/platforms/windows-mobile,2022-05-17 00:53:56,2024-06-10 13:48:09,,4,,Pocket PC,,"{523,535,536,537,538}",,741,{304},ba5cda89-aa99-fae3-0ee1-22afb9b2e8ea
389,AirConsole,airconsole,https://www.igdb.com/platforms/airconsole,2021-11-11 19:41:18,2024-06-10 13:49:14,,3,,,,{511},,746,{291},3382e798-f9c3-44ee-7356-127c707e704f
390,PlayStation VR2,psvr2,https://www.igdb.com/platforms/psvr2,2022-01-05 20:54:40,2024-06-10 13:48:09,,1,1,PSVR2,9,{512},PSVR2,869,{342},6a608ba4-de2e-2fd3-4c7b-5b231cdb1244
406,Sinclair QL,sinclair-ql,https://www.igdb.com/platforms/sinclair-ql,2022-06-02 10:00:19,2024-06-10 13:48:09,,6,,Sinclair Quantum Leap,,{524},,665,{308},7dd342cb-88a6-d5c8-065a-8bc8119a4496
407,HyperScan,hyperscan,https://www.igdb.com/platforms/hyperscan,2022-08-10 16:05:44,2024-06-10 13:48:09,,1,,,7,{547},,686,{306},e9990379-85ca-9401-9f1e-003ee0f0da99
408,Mega Duck/Cougar Boy,mega-duck-slash-cougar-boy,https://www.igdb.com/platforms/mega-duck-slash-cougar-boy,2022-08-10 18:18:59,2024-06-10 13:48:09,,5,,WG-108,4,{548},,687,{307},4bd967b3-9dff-84ab-809a-fdf191e5e0f5
410,Atari Jaguar CD,atari-jaguar-cd,https://www.igdb.com/platforms/atari-jaguar-cd,2022-08-11 19:19:21,2024-06-10 13:48:09,,1,,Jag CD,5,{550},,688,{310},704539d3-9f54-2d0f-220c-986c484c76b0
411,Handheld Electronic LCD,handheld-electronic-lcd,https://www.igdb.com/platforms/handheld-electronic-lcd,2022-08-11 19:29:03,2024-06-10 13:48:09,,5,,Handheld LCD Game,,"{551,691,692}",,,,346d9f71-b36b-0730-5251-4927aa627dd2
409,Legacy Computer,legacy-computer,https://www.igdb.com/platforms/legacy-computer,2022-08-11 16:27:01,2024-06-10 13:48:09,,6,,,,{549},,,,6ee1abcf-6815-e8d5-8f13-657776a5b353
412,Leapster,leapster,https://www.igdb.com/platforms/leapster,2022-08-11 19:41:50,2024-06-10 13:48:09,,5,,Leapster Learning Game System,6,{552},,689,{311},2a4b5882-ce1b-2ba6-f4c2-0f3e55fda0b9
414,LeapTV,leaptv,https://www.igdb.com/platforms/leaptv,2022-08-12 14:35:42,2024-06-10 13:48:09,,1,,LeapTV VCD,8,{554},,690,{313},74a35c87-865a-52ee-29f0-70c03039ff84
413,Leapster Explorer/LeadPad Explorer,leapster-explorer-slash-leadpad-explorer,https://www.igdb.com/platforms/leapster-explorer-slash-leadpad-explorer,2022-08-12 14:13:43,2024-06-10 13:48:09,,5,,,7,{553},,838,{312},0caa9142-7ddc-c2d9-fedd-7337b458e96f
438,Arduboy,arduboy,https://www.igdb.com/platforms/arduboy,2022-09-20 14:49:03,2024-06-10 13:48:09,,5,,,8,{588},,726,{337},86984dd5-5787-bf56-dc47-51ef8719e44f
415,Watara/QuickShot Supervision,watara-slash-quickshot-supervision,https://www.igdb.com/platforms/watara-slash-quickshot-supervision,2022-08-12 15:55:01,2024-06-10 13:48:09,,5,,,4,{555},,691,{314},4ed0c0ee-3103-4d53-c0dc-612a391de28d
439,V.Smile,vsmile,https://www.igdb.com/platforms/vsmile,2022-09-20 15:38:43,2024-06-10 13:48:09,,1,,V.SMILE TV LEARNING SYSTEM,6,{589},,727,{338},126de53d-b08e-2ccc-345f-f3fc2bf8b3dc
441,PocketStation,pocketstation,https://www.igdb.com/platforms/pocketstation,2022-10-26 18:24:13,2024-06-10 13:48:09,,5,1,,5,{591},,732,{340},01e16974-f1b1-8a6e-d7f2-88bd5d16dd3f
417,Palm OS,palm-os,https://www.igdb.com/platforms/palm-os,2022-08-12 16:42:21,2024-06-10 13:48:09,,4,,Garnet OS,,{557},,693,{316},7c475b92-12a3-b2a1-e302-dd13f4ebfdc3
7,PlayStation,ps,https://www.igdb.com/platforms/ps,2011-02-13 23:21:28,2024-06-10 13:48:09,,1,1,"PSX, PSOne, PS",5,"{57,653,654}",PS1,803,,579d4df0-cff5-0ba5-5efa-fbbf32dbbca6
416,64DD,64dd,https://www.igdb.com/platforms/64dd,2022-08-12 16:13:10,2024-08-23 16:38:39,,1,5,Nintendo 64DD,5,{556},,692,{315},846a5417-500a-bbea-7954-8e070843c915
16,Amiga,amiga,https://www.igdb.com/platforms/amiga,2011-02-16 18:24:14,2024-06-10 13:48:09,,6,,Commodore Amiga,,"{19,109,110,111,112,113,522}",Amiga,,,222d007a-1c2f-94a3-e83f-94d881c00176
471,Meta Quest 3,meta-quest-3,https://www.igdb.com/platforms/meta-quest-3,2023-06-01 17:50:25,2024-06-10 13:48:09,,1,,,9,{621},,839,{370},a4c5c23d-cdc3-4dbc-46dd-362142f3a83e
480,Super A'Can,super-acan,https://www.igdb.com/platforms/super-acan,2024-04-05 19:40:28,2024-06-10 13:48:09,,1,,,4,{699},,856,{381},14f2233a-90d9-6e3b-ace8-2ac7b76e54a0
47,Virtual Console,vc,https://www.igdb.com/platforms/vc,2012-01-11 10:54:04,2024-06-10 13:49:14,,3,5,VC,,{71},VC,384,,8a6082c8-1ea6-1652-7409-b1f4bd93c911
440,Visual Memory Unit / Visual Memory System,visual-memory-unit-slash-visual-memory-system,https://www.igdb.com/platforms/visual-memory-unit-slash-visual-memory-system,2022-10-26 16:16:21,2024-06-10 13:48:09,,5,3,VMU / VMS,6,{590},,728,{339},db4ff34b-62fc-ec7b-1442-84f602117f2e
472,visionOS,visionos,https://www.igdb.com/platforms/visionos,2024-02-09 19:34:10,2024-06-10 13:48:09,,4,,,,{682},,847,{373},e096afee-da56-f255-cc79-e489296b5bad
473,Arcadia 2001,arcadia-2001,https://www.igdb.com/platforms/arcadia-2001,2024-02-14 19:50:38,2024-06-10 13:48:09,,1,,,,{683},,848,{374},bb87a80b-9796-d632-87bc-a6731b9469be
51,Family Computer Disk System,fds,https://www.igdb.com/platforms/fds,2012-06-09 14:09:24,2024-06-10 13:48:09,,1,5,"Famicom Disk System, FDS",3,{38},fds,299,,6518150e-93d8-5bae-b8f4-d68315f0ca7a
474,Gizmondo,gizmondo,https://www.igdb.com/platforms/gizmondo,2024-02-22 22:28:00,2024-06-10 13:48:09,,5,,Gametraq,7,{689},,849,{375},5655d058-98a3-2ba6-7b07-06a6777fd9e3
25,Amstrad CPC,acpc,https://www.igdb.com/platforms/acpc,2011-03-15 16:27:50,2024-06-10 13:48:09,,6,,Colour Personal Computer,,"{20,525}",ACPC,845,,68740aab-e67a-d3d3-aa3f-fe6320941567
52,Arcade,arcade,https://www.igdb.com/platforms/arcade,2012-06-18 19:19:01,2024-06-10 13:48:09,,2,,,,"{22,634,635,636,637,638,640,641,649,650,651,652,664,665,666,667,668,669,681,696}",Arcade,827,,11f5b297-b4b6-7d9e-4bd0-3913163567b5
29,Sega Mega Drive/Genesis,genesis-slash-megadrive,https://www.igdb.com/platforms/genesis-slash-megadrive,2011-03-24 09:43:58,2024-06-10 13:48:09,,1,3,Sega Genesis,4,"{64,622,623,624,625,626,627,628}",Genesis/MegaDrive,,,9dbdfd6d-4dae-3a0f-1d20-e12e6dc15b41
59,Atari 2600,atari2600,https://www.igdb.com/platforms/atari2600,2013-06-26 18:13:40,2024-06-10 13:48:09,,1,,Atari VCS,2,"{24,673}",Atari2600,832,{372},d7819534-4d88-9e7c-024a-8cdc70be37c8
68,ColecoVision,colecovision,https://www.igdb.com/platforms/colecovision,2013-06-29 10:07:58,2024-06-10 13:48:09,,1,,Coleco,2,{35},colecovision,311,,a4f8d958-db18-3dc1-0c1a-6763f2091be4
475,R-Zone,r-zone,https://www.igdb.com/platforms/r-zone,2024-03-01 20:14:13,2024-06-10 13:48:09,,5,,,5,{690},,850,{376},52ce2cbf-9595-d9b9-04e0-475909983921
476,Apple Pippin,apple-pippin,https://www.igdb.com/platforms/apple-pippin,2024-03-05 21:49:34,2024-06-10 13:48:09,,1,,PiPP!N,5,{693},,851,{377},3735434b-3763-c159-20c7-8c6690e01a20
481,Tomy Tutor / Pyuta / Grandstand Tutor,tomy-tutor-slash-pyuta-slash-grandstand-tutor,https://www.igdb.com/platforms/tomy-tutor-slash-pyuta-slash-grandstand-tutor,2024-04-12 14:51:04,2024-06-10 13:48:09,,6,,,,{700},,857,{383},b065309d-44cd-a5b6-edc3-e1c5eeb7060d
486,Digiblast,digiblast,https://www.igdb.com/platforms/digiblast,2024-05-17 16:15:21,2024-06-10 13:48:09,,5,,,7,{712},,866,,fa7f9e58-c3ba-6e35-bc30-e938fb6f4dc7
12,Xbox 360,xbox360,https://www.igdb.com/platforms/xbox360,2011-02-13 23:21:28,2024-06-10 13:48:09,"Xbox 360 brings you a total games and entertainment experience. The largest library of games, including titles that get you right into the thick of it with Kinect. Plus, your whole family can watch HD movies, TV shows, live events, music, sports and more—across all your devices. Xbox 360 is the center of your games and entertainment universe.",1,2,X360,7,"{2,3,83,495}",X360,622,{4},39a55043-0e8d-aca1-9433-4675fb2bc082
34,Android,android,https://www.igdb.com/platforms/android,2011-04-12 11:47:41,2024-06-10 13:48:09,,4,4,Infocusa3,,"{7,8,9,10,11,12,236,237,238,239,320,526,527,528,541,542,543,544,545,546,672}",Android,831,{7},c6567c37-17cd-e08b-5d97-46ee19135d11
48,PlayStation 4,ps4--1,https://www.igdb.com/platforms/ps4--1,2012-01-14 12:42:24,2024-06-10 13:48:09,"The PlayStation 4 system opens the door to an incredible journey through immersive new gaming worlds and a deeply connected gaming community. PS4 puts gamers first with an astounding launch line-up and over 180 games in development. Play amazing top-tier blockbusters and innovative indie hits on PS4. Developer inspired, gamer focused.",1,1,PS4,8,"{17,178,179}",PS4,231,{11},1dfa9b83-5f1d-56ce-01a1-06fcdfbb5bc0
482,Sega CD 32X,sega-cd-32x,https://www.igdb.com/platforms/sega-cd-32x,2024-04-18 20:25:14,2024-06-10 13:48:09,,1,3,Sega Mega-CD 32X,4,{701},,858,,ac3e6590-6d1c-4a46-924c-d094d586e491
49,Xbox One,xboxone,https://www.igdb.com/platforms/xboxone,2012-01-14 12:43:42,2024-06-10 13:48:09,"Welcome to a new generation of games and entertainment. Where games push the boundaries of realism. And television obeys your every command. Where listening to music while playing a game is a snap. And you can jump from TV to movies to music to a game in an instant. Where your experience is custom tailored to you. And the entertainment you love is all in one place. Welcome to the all-in-one, Xbox One",1,2,XONE,8,"{78,180,185,188}",XONE,329,{12},1e7829d1-ecc1-967f-d605-ceec12f53c86
3,Linux,linux,https://www.igdb.com/platforms/linux,2011-02-13 23:21:28,2024-06-10 13:48:09,"Linux is a free and open-source (FOSS/FLOSS) Operating System. In a more precise and complex definition, Linux is an open-source OS kernel on which a large variety of Operating Systems (known as Linux distributions) are built.",4,4,GNU/Linux,,{44},Linux,380,{1},b810fb9c-65f7-b297-3658-da9c4d52bf11
4,Nintendo 64,n64,https://www.igdb.com/platforms/n64,2011-02-13 23:21:28,2024-06-10 13:48:09,,1,5,N64,5,"{51,122}",N64,260,{35},02fd2c06-507d-2cec-8146-452cb1e5a96a
55,Legacy Mobile Device,mobile,https://www.igdb.com/platforms/mobile,2012-06-26 22:06:17,2024-06-10 13:48:09,,5,,Legacy Cellphone,,"{46,514,539}",Mobile,841,{293},353a58f6-9253-0101-a132-796eacf71820
5,Wii,wii,https://www.igdb.com/platforms/wii,2011-02-13 23:21:28,2024-06-10 13:48:09,,1,5,Revolution,7,"{72,283}",Wii,326,{275},aa433d9d-5fe2-ecb3-7822-536673adb8ee
19,Super Nintendo Entertainment System,snes,https://www.igdb.com/platforms/snes,2011-02-17 11:20:47,2024-06-10 13:48:09,,1,5,"SNES, Super Nintendo",4,"{68,95,97,139,177}",SNES,106,{209},9adfe6a8-0040-ef79-94ae-493e37c5125b
39,iOS,ios,https://www.igdb.com/platforms/ios,2011-10-04 09:15:47,2024-06-10 13:48:09,,4,,,,{43},iOS,248,,fefe4a2b-7c90-0e89-e811-902ea1cf2b58
58,Super Famicom,sfam,https://www.igdb.com/platforms/sfam,2012-10-26 12:28:16,2024-06-10 13:48:09,,1,5,SFC,4,"{67,98,639}",SFAM,74,,2c90189e-fbde-d856-b2c7-a1522e8caed0
63,Atari ST/STE,atari-st,https://www.igdb.com/platforms/atari-st,2013-06-27 13:14:01,2024-06-10 13:48:09,,6,,,,{30},Atari-ST,367,,34e7481c-c27b-bef7-d2cf-f2e48ffcb5d7
75,Apple II,appleii,https://www.igdb.com/platforms/appleii,2013-12-23 01:21:25,2024-06-10 13:48:09,"The Apple II is an 8-bit home computer, one of the first highly successful mass-produced microcomputer products, designed primarily by Steve Wozniak, manufactured by Apple Computer (now Apple Inc.) and introduced in 1977. It is the first model in a series of computers which were produced until Apple IIe production ceased in November 1993.",6,,apple ][,,{21},Apple][,315,,c54c78dd-0a6b-0c3e-9948-931ac9dd0845
82,Web browser,browser,https://www.igdb.com/platforms/browser,2014-03-20 21:52:55,2024-06-10 13:49:14,,3,,Internet,,"{86,655,656,657,658,659,660,661,662,663}",browser,825,,df2af206-71c3-ffd0-81b5-7ddab53afd54
90,Commodore PET,cpet,https://www.igdb.com/platforms/cpet,2014-08-09 20:29:43,2024-06-10 13:48:09,,6,,,,{103},cpet,543,{216},2fa2cd86-55c7-cfa7-9569-e8f0422c8d0b
126,TRS-80,trs-80,https://www.igdb.com/platforms/trs-80,2015-12-10 00:51:20,2024-06-10 13:48:09,,6,,,,{164},,372,,fb10fc8e-0aeb-b55f-43a1-01b02aab3981
159,Nintendo DSi,nintendo-dsi,https://www.igdb.com/platforms/nintendo-dsi,2018-01-24 13:41:12,2024-06-10 13:48:09,,5,5,,7,"{228,229}",,246,,3e006565-8164-029f-abd3-6a9c97a22441
487,LaserActive,laseractive,https://www.igdb.com/platforms/laseractive,2024-05-23 15:41:55,2024-06-10 13:48:09,,1,,,4,{714},,868,{384},ea54806b-4bb4-6ae9-493c-bd2dc9e9ca96
14,Mac,mac,https://www.igdb.com/platforms/mac,2011-02-14 10:13:16,2024-06-10 13:48:09,,4,,Mac OS,,"{45,141,142,143,144,145,146,147,148,149,150,151,598,599,600,713}",Mac,867,{5},459a0ab8-6cc5-e21f-e39b-4948cd88f8e4
373,Sinclair ZX81,sinclair-zx81,https://www.igdb.com/platforms/sinclair-zx81,2020-12-03 19:33:22,2024-06-10 13:48:09,,6,,ZX81,,{491},,603,,be01e112-735e-82ba-0aa4-668c25834568
72,Ouya,ouya,https://www.igdb.com/platforms/ouya,2013-07-09 22:33:32,2024-06-10 13:48:09,"The Ouya (/ˈuːjə/ oo-yə), stylized OUYA, is a microconsole running its own version of the Android operating system, developed by Ouya Inc. Julie Uhrman founded the project in 2012. She brought in designer Yves Béhar to collaborate on the design of the project, and Muffi Ghadiali as product manager to put together the engineering team. Development was funded via Kickstarter, raising $8.5 million and becoming the website's second-highest-earning project in its history.

Units started to ship to Kickstarter backers on March 28, 2013. The console was released to the general public on June 25, 2013, and features an exclusive Ouya store for applications and games designed specifically for the Ouya platform, of which the majority are casual games targeted at or used by a mass audience of casual gamers. Out of the box, Ouya supports media apps such as TwitchTV and XBMC media player. It runs a modified version of Android 4.1 Jelly Bean, and is open to rooting without voiding the warranty (developer models ordered during the Kickstarter campaign for $699 or $1,337 come pre-rooted). The console's hardware design allows it to be easily opened up, requiring only a standard screwdriver for easy modding and possible hardware addons.

All systems can be used as development kits, allowing any Ouya owner to also be a developer, without the need for licensing fees. All games are required to have some kind of free-to-play aspect, whether that be completely free, has a free trial, or has purchasable upgrades, levels, or other in-game items. The Ouya is classified as part of the eighth generation of video game consoles and as such is a rival competing against the PlayStation 4, Xbox One, and Wii U.",1,,,8,{55},Ouya,236,{13},ec1994ca-3247-830f-8452-b664a411ade3
130,Nintendo Switch,switch,https://www.igdb.com/platforms/switch,2016-06-15 08:22:21,2024-06-10 13:48:09,,1,5,NX,8,"{173,282,503}",Switch,606,{16},cf324b63-af85-dd19-c415-6ec8745e41cf
